puzzle,method,solution-length,solution,initial-h,run-time(ms),nodes-expanded,nodes-per-second,iterations
ognkailhjbcmedfp,disjoint-database,58,uululldrddluurddlurrruulldddrruluuldldrdruurullddldrruurdd,46,3890.22,2616045,672467,7
pbiehmkcgajfndlo,disjoint-database,48,drdrdlulururrddldrulululdrruldrrdlldluurrurdldrd,40,58.897,37735,640695,5
cgekdalhofijpbnm,disjoint-database,55,urulurdddruuulldrrrullldrddrrullldrrruululddldrurdlurrd,47,127.634,82616,647288,5
dbeljicpgnkhmoaf,disjoint-database,48,dldluluruldrruldrdlurrulldlurddrrdluruldllurrddr,34,1389.2,932088,670954,8
fbhimjocplagkden,disjoint-database,52,urdrdllururdlururddldruluuldrrdlluldrdruluuldrurrddd,42,379.939,250475,659251,6
bdgpifjmklaenhco,disjoint-database,47,lldrdlurrdldlulurrddrullurrulldrullddrdluurrrdd,41,13.336,7621,571461,4
fikpdahbecmljngo,disjoint-database,39,ldrulldlurdrulddrulldrrdllurdrruuulddrd,33,3.782,1757,464569,4
hadolnjpebifckgm,disjoint-database,54,lldrurdluruldllurrdlldrrdllurdrruullddrruullurddlldrrr,46,191.939,127024,661794,5
dpmgbnokajleifhc,disjoint-database,47,lddrruurdddluurddlulurulldrrruldrdlldruuldldrrr,41,13.019,7616,584991,4
nijhclkbamdefpgo,disjoint-database,50,uuurddluulddruurdrdlluuldddrurdluurrulldrdllurddrr,40,280.404,182086,649370,6
dekflgcabjpimhno,disjoint-database,50,ruldrdllurulldrrululddrrdruluulldrrruldrdllurdldrr,40,308.335,205533,666590,6
dofpejiablckgmhn,disjoint-database,51,llldrruldrruldddrullldrruluurddllurrrddlulluurdrdrd,43,122.837,76139,619838,5
lbeadifmjhcgonkp,disjoint-database,58,ullulurrdlldrrurdllururddlluldrdluuurrrdddlurdlluulurdrdrd,48,1488.33,1006375,676180,6
mgjinedclhbfaokp,disjoint-database,54,llluuurrrdldldluuurrrddldlluuurddluurdrrddlulluurdrdrd,42,458.833,304000,662550,7
knljpdcmegahobif,disjoint-database,59,urdrulddrulddrruuullddluurddldrrurdlullurrrdlldruuldldrurrd,47,1910.14,1243506,651001,7
mlbcfkpdgejanhio,disjoint-database,47,lulddrrulddruluurrddlurdlluruldlurrdlldrdlurrdr,39,61.563,38386,623524,5
lomndjiepkcbahgf,disjoint-database,66,druuuldddruurulldrrdlurrulldrrddluurddlluldrrullurrrulldrdruldldrr,54,1305.46,886657,679190,7
abiopklhefdngmcj,disjoint-database,45,urrdddruuulddruulddlldrrruullulddruldrrulddrr,35,25.051,13746,548721,6
idhejlbmncogkfap,disjoint-database,50,ululdrdruuldruulldrrullddrdllurrdlluuurdrdllurrddr,42,11.614,6144,529017,5
blfaokgmncdeiphj,disjoint-database,60,uuurddruulddrdlulurrdlldrullurrdlluruldddrurruulddrdllururdd,48,1471.88,1001525,680440,7
labdpenmiockgjhf,disjoint-database,45,rrddrulldluuurrdrdlulldrdruulddruuldldrrruldr,37,31.853,18716,587574,5
